0.895 2.5160e-13 1.8600e-13 1.0000e-40 1.2002e-24 1.4477e-24 6.8000e-41
0.900 2.4250e-13 1.8060e-13 1.0000e-40 1.1601e-24 1.4110e-24 6.8000e-41
0.905 2.3370e-13 1.7520e-13 1.0000e-40 1.1200e-24 1.3729e-24 6.8000e-41
0.910 2.2490e-13 1.6940e-13 1.0000e-40 1.0792e-24 1.3314e-24 6.8000e-41
0.915 1.4880e-13 1.1110e-13 1.0000e-40 7.2284e-25 8.7448e-25 6.8000e-41
0.920 7.3980e-14 5.4590e-14 1.0000e-40 3.6659e-25 4.3098e-25 6.8000e-41
0.925 2.1100e-15 1.4570e-16 1.0000e-40 2.2794e-26 1.8992e-27 6.8000e-41
0.930 3.0980e-16 2.1400e-17 1.0000e-40 6.5287e-27 5.4407e-28 6.8000e-41
0.935 1.2570e-16 8.6810e-18 1.0000e-40 3.6380e-27 3.0314e-28 6.8000e-41
0.940 5.6400e-17 3.8960e-18 1.0000e-40 2.3399e-27 1.9496e-28 6.8000e-41
0.945 2.4710e-17 1.7070e-18 1.0000e-40 1.5776e-27 1.3144e-28 6.8000e-41
0.950 9.8210e-18 6.7830e-19 1.0000e-40 1.0690e-27 8.9080e-29 6.8000e-41
0.955 3.2670e-18 2.2560e-19 1.0000e-40 7.0108e-28 5.8405e-29 6.8000e-41
0.960 8.0590e-19 5.5660e-20 1.0000e-40 4.1208e-28 3.4340e-29 6.8000e-41
0.965 1.1330e-19 7.8240e-21 1.0000e-40 1.8795e-28 1.5660e-29 6.8000e-41
0.970 3.3220e-21 2.2940e-22 1.0000e-40 5.4774e-29 4.5642e-30 6.8000e-41
