x,exact,Hancock_PLM,Hancock_PPM_tr_2shk,Local_PPM_tr_2shk,Local_PPM_exact_label_THINC,Local_PPM_carried_label_THINC,PPM_DirectEuler,PPML_trace
0.45703125,2.0,1.817291498184204,1.9984564781188965,2.009735107421875,2.011889696121216,2.0108723640441895,1.9980700016021729,1.9999040365219116
0.46484375,2.0,1.7704870700836182,1.9876176118850708,2.0001609325408936,2.010226249694824,2.004211664199829,1.987499475479126,1.9997113943099976
0.47265625,2.0,1.718132495880127,1.9464201927185059,1.9657466411590576,2.0026776790618896,1.9763880968093872,1.9466853141784668,1.9985193014144897
0.48046875,2.0,1.661130666732788,1.8617759943008423,1.893622636795044,1.9694827795028687,1.9073266983032227,1.8619370460510254,1.991559386253357
0.48828125,2.0,1.6005451679229736,1.7341347932815552,1.7788543701171875,1.861149787902832,1.7903900146484375,1.7337838411331177,1.953407883644104
0.49609375,2.0,1.53752863407135,1.5763545036315918,1.6233667135238647,1.6577881574630737,1.627492070198059,1.5755442380905151,1.7423276901245117
0.50390625,1.0,1.4733331203460693,1.409841537475586,1.438643217086792,1.3918366432189941,1.432349443435669,1.4090032577514648,1.2436244487762451
0.51171875,1.0,1.4092282056808472,1.2581450939178467,1.2477891445159912,1.1429647207260132,1.2325465679168701,1.257770299911499,1.0553629398345947
0.51953125,1.0,1.3463915586471558,1.1396329402923584,1.0856499671936035,1.0048069953918457,1.0690515041351318,1.1398361921310425,1.012503981590271
0.52734375,1.0,1.2858772277832031,1.0618853569030762,0.9958805441856384,0.9838809967041016,0.9902423620223999,1.0622538328170776,1.0028579235076904
0.53515625,1.0,1.2287260293960571,1.0208324193954468,0.9820016622543335,0.9825544953346252,0.9808529019355774,1.0208616256713867,1.0006824731826782
0.54296875,1.0,1.1759058237075806,1.004702091217041,0.9810452461242676,0.9827210903167725,0.9802383184432983,1.004382848739624,1.00019109249115
0.55078125,1.0,1.1281712055206299,1.0006353855133057,0.9813324809074402,0.9838874936103821,0.9806696176528931,1.0002532005310059,1.0000790357589722
0.55859375,1.0,1.0861992835998535,1.0000754594802856,0.9827573299407959,0.9859165549278259,0.9822857975959778,0.9997032284736633,1.000053882598877
0.56640625,1.0,1.050925850868225,1.0000141859054565,0.9851588010787964,0.9885194897651672,0.9849168062210083,0.9996504783630371,1.0000500679016113
0.57421875,1.0,1.0240435600280762,1.0000065565109253,0.9883044958114624,0.9914470911026001,0.9883265495300293,0.9996484518051147,1.0000497102737427
0.58203125,1.0,1.0085541009902954,1.0000053644180298,0.9918853044509888,0.9944396615028381,0.9921756982803345,0.9996529817581177,1.0000487565994263
0.58984375,1.0,1.003009557723999,1.0000052452087402,0.9955387115478516,0.997234046459198,0.9960668683052063,0.9996664524078369,1.0000481605529785
